Facility_uid,Facility_name,Facility_uid,Level,Ownership,Authority,Coordinates,Subcounty_uid,Subcounty_name,District_uid,District_name,Region_uid,Region_name
h1VgzkY8YPD,Kitintale Mercy Clinic HC II,h1VgzkY8YPD,HC II,,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
ieJpMy4St7l,Kitodha HC II,ieJpMy4St7l,HC II,Government,MOH,"[33.827972,0.447876]",v34OKRUDNcU,Bulesa Subcounty,gUaoj8Geuao,Bugiri District,adZ6T35ve4h,Eastern Region
biRUEhJhHDP,Kitojo Community HC II,biRUEhJhHDP,HC II,Private Not For Profit,,"[30.32027,-0.53735]",hvOhryiEkBg,Sheema Division,xAJgEKKAeRA,Sheema District,auJdpeHbeet,Western Region
QxuHUqsrz0A,Kitojo HC II (Mbarara),QxuHUqsrz0A,HC II,Government,MOH,"[30.47399,-0.75233]",s2dkjCPY2qR,Bugamba Subcounty,auswb7JO9wY,Mbarara District,auJdpeHbeet,Western Region
WUuQukdG6s0,Kitojo HC II NGO,WUuQukdG6s0,HC II,Private Not For Profit,UPMB,"[29.936108,-0.880913]",TSjl80sWfHh,Buyanja Subcounty,tugqr4dY6wq,Rukungiri District,auJdpeHbeet,Western Region
LoLoHmDsEna,Kitokolo HC II,LoLoHmDsEna,HC II,Private Not For Profit,UPMB,"[31.88513,0.61331]",yWYw37S44Ku,Bukuya Subcounty,lzWuB6bCQeV,Mubende District,VA90IqaI4Ji,Central Region
U2iprp1G39M,Kitondo HC III,U2iprp1G39M,HC III,Government,MOH,"[30.16537,-0.79086]",weIcTd1431E,Ihunga Subcounty,hAoe9dhZh9V,Ntungamo District,auJdpeHbeet,Western Region
fT2e8nED9PT,Kitongo HC III,fT2e8nED9PT,HC III,Government,MOH,"[32.06173,0.28847]",O2pu4FaMeOX,Butayunja Subcounty,Q7PaNIbyZII,Mityana District,VA90IqaI4Ji,Central Region
TpH5i79H6ZJ,Kitooke Clinic Centre Clinic,TpH5i79H6ZJ,Clinic,Private For Profit,Local Government,,hDJoLiGGfRY,Katooke Town Council,O9MoQcpZ4uA,Kyenjojo District,auJdpeHbeet,Western Region
aygeogIefOQ,Kitoole HC II,aygeogIefOQ,HC II,Government,MOH,"[31.2997,1.26478]",STVXdJbnn3H,Buhimba Subcounty,PJFtfCyp6Rb,Hoima District,auJdpeHbeet,Western Region
RdzJlXtx1G9,Kitooma HC II,RdzJlXtx1G9,HC II,Government,MOH,"[29.92752,-1.32259]",bccV4EYcggS,Kabale Rubaya Subcounty,zBIpPzKYFLp,Kabale District,auJdpeHbeet,Western Region
GXm2FPnZqfB,Kitooro HC III-NR,GXm2FPnZqfB,,,UPMB,"[32.460839,0.061808]",o1TE46Mk0lW,Entebbe Division B Subcounty,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
bUDoS3JjcpY,Kitovu Blood Bank CLINIC,bUDoS3JjcpY,Clinic,,,,CPZioDtBpZV,Kyanamukaaka Subcounty,bIONCoCnt3Q,Masaka District,VA90IqaI4Ji,Central Region
aoNyMeWn6YC,Kitovu HC II,aoNyMeWn6YC,HC II,Government,MOH,"[33.47239,0.34166]",s2a0yLa3g2f,Kityerera Subcounty,mv4gKtY0qW8,Mayuge District,adZ6T35ve4h,Eastern Region
LKn50qRDDAB,Kitovu Mobile Clinic,LKn50qRDDAB,Clinic,Private Not For Profit,Local Government,,asxJZ73r4QU,Kimanya-Kyabakuza Division,bIONCoCnt3Q,Masaka District,VA90IqaI4Ji,Central Region
OOJMUm6aMR4,Kitswamba HC III,OOJMUm6aMR4,HC III,Government,MOH,"[30.16823658,0.37165852]",DHWHrDD2bPf,Kitswamba Subcounty,aa8xVDzSpte,Kasese District,auJdpeHbeet,Western Region
WTUM2RKZQG7,Kitule HC II,WTUM2RKZQG7,HC II,Government,MOH,"[30.37355,0.76003]",alKCrUnF0Ww,Hakibale Subcounty,m77oR1YJESj,Kabarole District,auJdpeHbeet,Western Region
aXOYCLj6ksD,Kitumba HC II,aXOYCLj6ksD,HC II,Government,MOH,"[33.75866,0.41589]",WwbY46nZ6GJ,Muterere Subcounty,gUaoj8Geuao,Bugiri District,adZ6T35ve4h,Eastern Region
zJxJF8dOBan,Kituna HC II,zJxJF8dOBan,HC II,Government,MOH,"[31.251494,2.303666]",yeA4jdSqetI,Akworo Subcounty,Xjc0LDFa5gW,Nebbi District,pz9Uu65Irbg,Northern Region
anOxR20hDCC,Kituntu HC III,anOxR20hDCC,HC III,Government,MOH,"[31.99748,0.05216]",JzZkIkp7PnX,Kituntu Subcounty,YMMexeHFUay,Mpigi District,VA90IqaI4Ji,Central Region
NcxXPrWeMtP,Kitura HC II,NcxXPrWeMtP,HC II,Government,MOH,"[30.640391,-0.283066]",svThtOW2ZOx,Kitura Sub County,qf9xWZu7Dq8,Kiruhura District,auJdpeHbeet,Western Region
ExtBb1CkrSe,Kituule HC II,ExtBb1CkrSe,HC II,Government,MOH,"[31.43869,0.75891]",aT9SzVJj0bl,Butoloogo Subcounty,lzWuB6bCQeV,Mubende District,VA90IqaI4Ji,Central Region
nVVKPwE1OAc,Kitwara HC II,nVVKPwE1OAc,HC II,Government,MOH,"[32.11417,1.76992]",OvshHVjn0lS,Kiryandongo Subcounty,B0G9cqixld8,Kiryandongo District,auJdpeHbeet,Western Region
wVUi8BXxKkY,Kitwe HC II,wVUi8BXxKkY,HC II,Government,MOH,"[31.66145,0.20965]",voFp0uhCRYz,Maddu Subcounty,lQj3yMM1lI7,Gomba District,VA90IqaI4Ji,Central Region
FGnMVMPBCLN,Kitwe HC IV,FGnMVMPBCLN,HC IV,Government,MOH,"[30.464951,-0.981063]",aBKUgg9eMEK,Rukoni West Subcounty,hAoe9dhZh9V,Ntungamo District,auJdpeHbeet,Western Region
W65MlPtBlmF,Kityerera HC IV,W65MlPtBlmF,HC IV,Government,MOH,"[33.51880,0.32765]",s2a0yLa3g2f,Kityerera Subcounty,mv4gKtY0qW8,Mayuge District,adZ6T35ve4h,Eastern Region
FZ7iZzBZjQj,Kityerera Maternity Home HC III-NR,FZ7iZzBZjQj,,,,,s2a0yLa3g2f,Kityerera Subcounty,mv4gKtY0qW8,Mayuge District,adZ6T35ve4h,Eastern Region
sMYprHm7m3K,Kiu Teaching HOSPITAL,sMYprHm7m3K,General Hospital,Private Not For Profit,CSO,"[30.14554,-0.53999]",Pzuty2p5guf,Ishaka Division,It5UGwdHAPF,Bushenyi District,auJdpeHbeet,Western Region
qiQ6hnYsOrx,Kiwabo Clinic HC II,qiQ6hnYsOrx,HC II,,,,oweSpFBNbmi,Rubaga Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
hiXfKb958Ss,Kiwaga Clinic - NR,hiXfKb958Ss,,,,,VWM1FTIMfuj,Goma Division,a0DfYpC2Rwl,Mukono District,VA90IqaI4Ji,Central Region
pAVQjcGnvWV,Kiwalazi HC II,pAVQjcGnvWV,HC II,Government,MOH,"[33.29266,0.74155]",u2qKXP2Yt49,Irongo Subcounty,hn1AlYtF1Pu,Luuka District,adZ6T35ve4h,Eastern Region
Ca2aPxhVfUf,Kiwambya,Ca2aPxhVfUf,,,,,ajkzjPlcCwo,Kalongo Subcounty (Nakasongola),aUcYGQCK9ub,Nakasongola District,VA90IqaI4Ji,Central Region
WSRvfYs9L1V,Kiwambya HC II (Nakasongola),WSRvfYs9L1V,HC II,Government,MOH,"[32.69061,1.15091]",ajkzjPlcCwo,Kalongo Subcounty (Nakasongola),aUcYGQCK9ub,Nakasongola District,VA90IqaI4Ji,Central Region
Ix8XK0hTA0U,Kiwanga Nursing Home - NR,Ix8XK0hTA0U,,,,,VWM1FTIMfuj,Goma Division,a0DfYpC2Rwl,Mukono District,VA90IqaI4Ji,Central Region
oviT3cugAEz,Kiwangala HC IV,oviT3cugAEz,HC IV,Government,MOH,"[31.51589,-0.47508]",PAjHH9FKnf7,Kisekka Subcounty,aqpd0Y9eXZ2,Lwengo District,VA90IqaI4Ji,Central Region
eN9V8wuZGOa,Kiwanyi HC II,eN9V8wuZGOa,HC II,Private Not For Profit,UMMB,"[33.42819,0.81778]",i93w6kNOmuT,Nawandala Subcounty,oNxpMjveyZt,Iganga District,adZ6T35ve4h,Eastern Region
itlvaJFqYS4,Kiwatuule Medical Centre HC II,itlvaJFqYS4,HC II,Private For Profit,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
IburVmGWill,Kiwawo HC III,IburVmGWill,HC III,Private For Profit,,,VytuF37uBdH,Kyamuliibwa Subcounty,ahyi8Uq4vaj,Kalungu District,VA90IqaI4Ji,Central Region
OtHSbYGRmmu,Kiwoko HOSPITAL,OtHSbYGRmmu,General Hospital,Private Not For Profit,UPMB,"[32.36132,0.84015]",a4eJM1A5pmq,Kiwoko TC,aSbgVKaeCP0,Nakaseke District,VA90IqaI4Ji,Central Region
IDpWphzmvPG,Kiwumulo HC II,IDpWphzmvPG,HC II,Private For Profit,Local Government,,aANELFaFbpF,Kkingo Subcounty,aqpd0Y9eXZ2,Lwengo District,VA90IqaI4Ji,Central Region
aHymzNthjdX,Kiyagara HC II,aHymzNthjdX,HC II,Government,MOH,,f82sIZY6sXk,Kahunge Subcounty,uCVQXAdKqL9,Kamwenge District,auJdpeHbeet,Western Region
qjWCCeS39HE,Kiyanja HC II,qjWCCeS39HE,HC II,Government,MOH,"[30.36932,-0.36652]",a0vg4d6HxAt,Engaaju Subcounty,sWoNWQZ9qrD,Buhweju District,auJdpeHbeet,Western Region
aZMReDgAp1Q,Kiyebe HC II,aZMReDgAp1Q,HC II,Government,MOH,"[29.82802,-1.04761]",rFcB1UxSU9H,Ruhija subcounty,wZrfAgC3WrU,Rubanda District,auJdpeHbeet,Western Region
ZeXBMNmaaI1,Kiyeyi HC III,ZeXBMNmaaI1,HC III,Government,MOH,"[33.940449,0.674503]",aMbwlzLZVsf,Nabuyoga Subcounty,KhT80mlwJ3Y,Tororo District,adZ6T35ve4h,Eastern Region
Mhu1FmUK4lN,Kiyinda HC II,Mhu1FmUK4lN,HC II,Government,MOH,"[31.15514,-0.31308]",WSYIQSpwPop,Kaliiro Subcounty,aPRNSGUR3vk,Lyantonde District,VA90IqaI4Ji,Central Region
HkriBSaojwZ,Kiyindi Medical Clinic,HkriBSaojwZ,Clinic,Private For Profit,,,oQJH7ffJs1R,Najja Subcounty,x75Yh65MaUa,Buikwe District,VA90IqaI4Ji,Central Region
lhdMYndcaPr,Kiyita HC II,lhdMYndcaPr,HC II,Government,MOH,"[31.25032,0.42626]",aNQKIokHNo6,Nabingoola Subcounty,lzWuB6bCQeV,Mubende District,VA90IqaI4Ji,Central Region
tct4wSv0b6E,Kiyoganyi HC II,tct4wSv0b6E,HC II,Government,MOH,"[31.98233,0.52991]",tkgsqoGYcYi,Bulera Subcounty,Q7PaNIbyZII,Mityana District,VA90IqaI4Ji,Central Region
a0Tgsf83fGB,Kiyombya HC III,a0Tgsf83fGB,HC III,Government,MOH,"[30.23012,0.53833]",lkTLhQNgq5O,Buheesi Subcounty,m77oR1YJESj,Kabarole District,auJdpeHbeet,Western Region
l8EC97zI8Xl,Kiyoola HC II,l8EC97zI8Xl,HC II,Government,MOH,"[32.85736,0.25935]",aMjwtFPZA3H,Nakisunga Subcounty,a0DfYpC2Rwl,Mukono District,VA90IqaI4Ji,Central Region
tYPKoJnvJPx,Kiyoora HC II,tYPKoJnvJPx,HC II,Government,MOH,"[30.338614,-0.842818]",aT8hmwXQ07D,Nyakyera Subcounty,hAoe9dhZh9V,Ntungamo District,auJdpeHbeet,Western Region
AjaGtzC8woM,Kiyumba HC IV,AjaGtzC8woM,HC IV,Government,MOH,"[31.81864,-0.33847]",unv8Mf3d1rl,Mukungwe Subcounty,bIONCoCnt3Q,Masaka District,VA90IqaI4Ji,Central Region
d6LKSCl9Pq7,Kiyunga HC II,d6LKSCl9Pq7,HC II,Government,MOH,"[33.07063,0.77995]",mmzJuWJudcF,Kisozi Subcounty,oyygQ2STBST,Kamuli District,adZ6T35ve4h,Eastern Region
a14sgIjcCoT,Kiyunga HC IV,a14sgIjcCoT,HC IV,Government,MOH,"[33.33111,0.76647]",QBs5UwEfnge,Luuka Town Council,hn1AlYtF1Pu,Luuka District,adZ6T35ve4h,Eastern Region
BzFOI8BjIMz,Kiziba Catholic/Kiziba St. Ulrika HC III,BzFOI8BjIMz,HC III,Private Not For Profit,UCMB,"[32.36704,0.50478]",KDXoiPpllM7,Masulita Town Council,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
NTdFPOv8naB,Kiziba HC II GOVT,NTdFPOv8naB,HC II,Government,MOH,,a9bdfn2hOs0,Kamwenge Subcounty,uCVQXAdKqL9,Kamwenge District,auJdpeHbeet,Western Region
gCobOTnUj2H,Kiziba HC III,gCobOTnUj2H,HC III,Government,MOH,"[32.366431,0.509197]",KDXoiPpllM7,Masulita Town Council,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
H6KWp7l4pOe,Kizigo HC II,H6KWp7l4pOe,HC II,Government,MOH,,GzQBIYVSUhV,Najjembe Subcounty,x75Yh65MaUa,Buikwe District,VA90IqaI4Ji,Central Region
FI11C32LNK8,Kiziiko HC II,FI11C32LNK8,HC II,Government,MOH,"[32.17326,0.20111]",Y9BKBtIjli6,Kibibi Subcounty,a3LMKP8z8Xj,Butambala District,VA90IqaI4Ji,Central Region
oifhpHlXiqj,Kizito Family Doctors  CLINIC-NR,oifhpHlXiqj,,,,,h7rS7d8M2jI,Nansana Town Council,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
r1QdGKW3eVh,KK Medical Centre HC II,r1QdGKW3eVh,HC II,Private For Profit,Local Government,,o2AmXGnxfGy,Nkozi Subcounty,YMMexeHFUay,Mpigi District,VA90IqaI4Ji,Central Region
yKHWKN5boji,KKCBO Clinic,yKHWKN5boji,Clinic,Private For Profit,CSO,,aVEnwpUDlzd,Kasambya Subcounty (Kakumiro),Lnewt3iIJaK,Kakumiro District,auJdpeHbeet,Western Region
acVlCxQCJ5C,Kkonge HC II,acVlCxQCJ5C,HC II,Private Not For Profit,UCMB,"[32.317187,0.272377]",abHXswMdUC4,Mpigi Town Council,YMMexeHFUay,Mpigi District,VA90IqaI4Ji,Central Region
VCZvyMMtuNQ,KKonko HC II,VCZvyMMtuNQ,HC II,Government,MOH,"[33.12157,0.42972]",V8DloIhJgVB,Wakisi Subcounty,x75Yh65MaUa,Buikwe District,VA90IqaI4Ji,Central Region
k0YKgjQNXu9,Kmc Clinic/Kabale M/C  HC II,k0YKgjQNXu9,HC II,Government,MOH,,anjXngIyBSK,Kabale Central Division,zBIpPzKYFLp,Kabale District,auJdpeHbeet,Western Region
v5lh2VHSAYz,Koboko Army Barracks HC II,v5lh2VHSAYz,HC II,,,"[30.96561,3.41525]",WSDI45idzp5,Koboko Town Council,iqsaGItA68C,Koboko District,pz9Uu65Irbg,Northern Region
JAPYJGfV0VY,Koboko Hospital,JAPYJGfV0VY,General Hospital,Government,Local Government,"[30.95937,3.40942]",WSDI45idzp5,Koboko Town Council,iqsaGItA68C,Koboko District,pz9Uu65Irbg,Northern Region
krZXXQ5cUvP,Koboko Medical Centre - NR,krZXXQ5cUvP,,,,,WSDI45idzp5,Koboko Town Council,iqsaGItA68C,Koboko District,pz9Uu65Irbg,Northern Region
aXGjPN0urzK,Koboko Mission HC III,aXGjPN0urzK,HC III,NGO,UCMB,"[30.95522,3.42035]",WSDI45idzp5,Koboko Town Council,iqsaGItA68C,Koboko District,pz9Uu65Irbg,Northern Region
Mfxa52fh9Fc,Koboko Police Barracks HC II,Mfxa52fh9Fc,HC II,Government,Police,"[30.95975,3.40792]",WSDI45idzp5,Koboko Town Council,iqsaGItA68C,Koboko District,pz9Uu65Irbg,Northern Region
ACN6EqDeXvm,Koboli  HC II,ACN6EqDeXvm,HC II,Government,MOH,"[33.94881,1.24976]",v3u1aOgDsgx,Kidongole Subcounty,tdZbtg9sZkO,Bukedea District,adZ6T35ve4h,Eastern Region
UMzvOsVEnNH,Kobulubulu HC III,UMzvOsVEnNH,HC III,Government,MOH,"[33.12534,1.71952]",hfW1BGRy1XT,Kobulubulu Subcounty,QoRZB7xc3j9,Kaberamaido District,adZ6T35ve4h,Eastern Region
TTWscca1VOu,Kobwin HC III,TTWscca1VOu,HC III,Government,MOH,"[33.74039,1.40026]",uodLpKe7cyL,Kobuin Subcounty,aj4hsYK3dVm,Ngora District,adZ6T35ve4h,Eastern Region
NdIteLoT2FC,Koch Goma HC III,NdIteLoT2FC,HC III,Government,MOH,"[32.17031,2.60551]",Ed2uyXvmovM,Koch-Goma Subcounty,zNgVoDVPYgD,Nwoya District,pz9Uu65Irbg,Northern Region
TrwFZhU2ntF,Koch HC II,TrwFZhU2ntF,HC II,Government,MOH,"[31.13528,2.53558]",VHak0ZFer7F,Nebbi Subcounty,Xjc0LDFa5gW,Nebbi District,pz9Uu65Irbg,Northern Region
uG6WV4UKNaB,Koch Lii HC II,uG6WV4UKNaB,HC II,Government,MOH,"[31.95299,2.59597]",Ed2uyXvmovM,Koch-Goma Subcounty,zNgVoDVPYgD,Nwoya District,pz9Uu65Irbg,Northern Region
eagCoWlLIhR,Kochi HC III,eagCoWlLIhR,HC III,Government,MOH,"[31.449064,3.581845]",fOv2DdPf7fG,Kochi SubCounty,W1JM2Qdhcv3,Yumbe District,pz9Uu65Irbg,Northern Region
ahHdIJyA7gA,Kocholo HC II,ahHdIJyA7gA,HC II,Government,MOH,"[33.89832,3.77044]",NkDX1oU6cfn,Kawalakol Subcounty,eOJUW6OGpc7,Kaabong District,pz9Uu65Irbg,Northern Region
IMeQNSBsc9i,Kodonyo HC II,IMeQNSBsc9i,,,,,q1TxlOLZPqV,Tapac Subcounty,A9kRCvmn6Co,Moroto District,pz9Uu65Irbg,Northern Region
akaiT2gUBst,Kojja HC IV,akaiT2gUBst,HC IV,Government,MOH,"[32.79638,0.20796]",QRDEYBjoQkE,Ntenjeru Subcounty,a0DfYpC2Rwl,Mukono District,VA90IqaI4Ji,Central Region
ASNnd0et215,Kokil HC II,ASNnd0et215,HC II,Government,MOH,"[33.423625,3.0614833]",zzl9JUHMQY1,Paimol Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
gQIMeHy1J7q,Kokorio HC II,gQIMeHy1J7q,HC II,Government,MOH,"[33.9337,1.71359]",ciYirJoS2bT,Kapujan Subcounty,cSrCFjPKqcG,Katakwi District,adZ6T35ve4h,Eastern Region
Z9dLZO7dCS2,Kokwomurya HC II,Z9dLZO7dCS2,HC II,Government,MOH,"[34.45817,1.40612]",aalsK83lGNw,Kapchorwa Town Council,aginheWSLef,Kapchorwa District,adZ6T35ve4h,Eastern Region
jUNsy8mzsFZ,Kolididi HC II,jUNsy8mzsFZ,HC II,Government,Local Government,"[31.754307,3.19736]",azZk0TJOe3j,Ofua Subcounty,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
OMNRrYcHxCn,Kolir HC III,OMNRrYcHxCn,HC III,Government,MOH,"[34.16476,1.32296]",KPGI2KIVJYC,Kolir Subcounty,tdZbtg9sZkO,Bukedea District,adZ6T35ve4h,Eastern Region
hR54WelFldU,Kololo HOSPITAL,hR54WelFldU,General Hospital,Private For Profit,Local Government,"[32.588224,0.336823]",zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
TbvgyLRtgU9,Kololo Polyclinic & X-Ray Service HC IINR,TbvgyLRtgU9,,,,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
O4hJJKkCm5r,Kolonyi HC III,O4hJJKkCm5r,HC III,Private Not For Profit,UPMB,,SazalLP46YD,Nakaloke Subcounty,yuo5ielNL7W,Mbale District,adZ6T35ve4h,Eastern Region
TT8I4Fy4d5r,Komamboga HC III,TT8I4Fy4d5r,HC III,Government,MOH,,LYuMx5oPsR5,Kawempe Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
UNkOBRZmFYA,Komolo HC II,UNkOBRZmFYA,HC II,Government,MOH,"[33.82952,1.80116]",LyX5VLc9Eyz,Wera Subcounty,TM6ccNxawqy,Amuria District,adZ6T35ve4h,Eastern Region
aEeuR1SAufp,Komuka Maternity HC II,aEeuR1SAufp,HC II,,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
FuaPeRISYBk,Kona Clinic Amuria,FuaPeRISYBk,Clinic,Private For Profit,Local Government,,JvF5JZK4OIl,Amuria Town Council,TM6ccNxawqy,Amuria District,adZ6T35ve4h,Eastern Region
aW9B21pkwpF,Konge Clinic HC II NR,aW9B21pkwpF,Clinic,,,"[32.624432,0.249768]",FbuhMjEaMXt,Makindye Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
Myd1djyMQG5,Kongoro HC II,Myd1djyMQG5,HC II,Government,MOH,"[30.43857,-0.75433]",y7RFe3e9KKO,Ndeija Subcounty,auswb7JO9wY,Mbarara District,auJdpeHbeet,Western Region
abyfkOlxO5i,Kongta HC II,abyfkOlxO5i,HC II,Private Not For Profit,UPMB,"[34.58084,1.37111]",hY5HcMQt93G,Kwosir Subcounty,h1O9AvNR4jS,Kween District,adZ6T35ve4h,Eastern Region
jnS54maqjwy,Kony-Kwo Clinic,jnS54maqjwy,Clinic,Private For Profit,Local Government,,p5nJqYlFrnv,Layibi Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
f2mpWj7lncr,Koob Clinic Hoima Branch HC II,f2mpWj7lncr,HC II,Private For Profit,,,KGfsBIXqGWC,Kahoora Division,PJFtfCyp6Rb,Hoima District,auJdpeHbeet,Western Region
a6XvLumTH43,Koob Health Centre - NR,a6XvLumTH43,,,,,VWM1FTIMfuj,Goma Division,a0DfYpC2Rwl,Mukono District,VA90IqaI4Ji,Central Region
fkASUL2GNdM,Koome HC III,fkASUL2GNdM,HC III,Government,MOH,"[32.73428,-0.08066]",Kgm0dUViEfO,Kkoome Island Subcounty,a0DfYpC2Rwl,Mukono District,VA90IqaI4Ji,Central Region
hGgRhRwqMq6,Kopoth HC II,hGgRhRwqMq6,HC III,Government,MOH,"[34.12182,3.36756]",p4JCTAyEhij,Sidok Subcounty,eOJUW6OGpc7,Kaabong District,pz9Uu65Irbg,Northern Region
EEwBWZQ7Qre,Koritok HC II,EEwBWZQ7Qre,HC II,Government,MOH,"[33.98406,2.03128]",y1iun1mJXWa,Usuk Subcounty,cSrCFjPKqcG,Katakwi District,adZ6T35ve4h,Eastern Region
oYdsJ8kS1JS,Koro Abili HC II,oYdsJ8kS1JS,HC II,Government,MOH,"[32.78548,2.68620]",q03uh0SJ0N9,Koro Subcounty,S5fvUXgY54J,Omoro District,pz9Uu65Irbg,Northern Region
arWb0FvSbW8,Kortek HC III,arWb0FvSbW8,HC III,Government,MOH,"[34.71091,1.30102]",dzxOS342VoL,Kortek Subcounty,e8m9ZYMRoeR,Bukwo District,adZ6T35ve4h,Eastern Region
THC1QUnraXF,Kosiroi HC II,THC1QUnraXF,HC II,Government,MOH,"[34.78586,2.46335]",q1TxlOLZPqV,Tapac Subcounty,A9kRCvmn6Co,Moroto District,pz9Uu65Irbg,Northern Region
ahrb1oS6ucq,Kotido HC IV,ahrb1oS6ucq,HC IV,Government,MOH,"[34.11676,3.015040]",V0rnbupwOSg,Kotido Town Council,aPZzL4CyBTg,Kotido District,pz9Uu65Irbg,Northern Region
Ia1ewqcyAFT,Kotido Prisons HCII,Ia1ewqcyAFT,HC II,,Prisons,,V0rnbupwOSg,Kotido Town Council,aPZzL4CyBTg,Kotido District,pz9Uu65Irbg,Northern Region
xErihzThO6h,Kotomor HC III,xErihzThO6h,HC III,,,,nmK9yk0kjmP,Kotomor Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
E4bbV924Vz6,Kowe Clinic HC II_Delete,E4bbV924Vz6,,,,,abeBKMqGN0S,Kibiito Subcounty,m77oR1YJESj,Kabarole District,auJdpeHbeet,Western Region
RnktSI9w0ZM,Koya HC II,RnktSI9w0ZM,HC II,Government,MOH,"[33.7912,2.71266]",un9dv9VS0Cd,Alerek Subcounty,NREoMszwQZW,Abim District,pz9Uu65Irbg,Northern Region
jQfVoKbDfzg,KPC Clinic - Mutungo,jQfVoKbDfzg,HC II,Private For Profit,Local Government,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
dMm3DJNLoe0,Kristina HC II,dMm3DJNLoe0,HC II,Private Not For Profit,Local Government,,Zb0o00tdmnx,Otuke Town Council,aXjub1BYn1y,Otuke District,pz9Uu65Irbg,Northern Region
ivIec3MNVbO,Kubo HC II,ivIec3MNVbO,HC II,Government,Local Government,,V9aklQkm2yr,Masafu Subcounty,lkuO79O6mRx,Busia District,adZ6T35ve4h,Eastern Region
a6UyqE2Tgjx,Kucwiny HC III,a6UyqE2Tgjx,HC III,Government,MOH,"[31.228734,2.550751]",HsanwfHFpmb,Kucwiny Subcounty,Xjc0LDFa5gW,Nebbi District,pz9Uu65Irbg,Northern Region
jiKuvEHVanR,Kulikulinga HC III,jiKuvEHVanR,HC III,Government,MOH,"[31.246199,3.346616]",apKpog39DlX,Odravu Subcounty,W1JM2Qdhcv3,Yumbe District,pz9Uu65Irbg,Northern Region
CyZwgWizfmy,Kuluba HC II,CyZwgWizfmy,HC II,Government,MOH,"[30.94196,3.50594]",rQcFYXak0LH,Kuluba Subcounty,iqsaGItA68C,Koboko District,pz9Uu65Irbg,Northern Region
avzSINkwOx8,Kuluva HOSPITAL,avzSINkwOx8,General Hospital,Private Not For Profit,UPMB,"[30.93375,2.94981]",EAw4NikTilV,Vurra Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
KbMOUjVK28j,Kumi Community Clinic and Imaging Centre HC II,KbMOUjVK28j,HC II,Private For Profit,Local Government,"[33.93581,1.48519]",fbPAuvlJO2x,Kumi Town Council,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
T7PV25xOz2Z,Kumi HC IV,T7PV25xOz2Z,HC IV,Government,MOH,"[33.97501,1.530615]",fbPAuvlJO2x,Kumi Town Council,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
ahzk9fymop1,Kumi NGO HOSPITAL,ahzk9fymop1,General Hospital,Private Not For Profit,UPMB,"[34.00482,1.55895]",vhBrLJBbs8t,Ongino Subcounty,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
F72SmQgfKBf,Kumi Orthopaedic Centre  HC III,F72SmQgfKBf,HC III,Private For Profit,MOH,"[33.94640,1.48498]",fbPAuvlJO2x,Kumi Town Council,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
GhxBlhZQKq6,Kumi Police HC II,GhxBlhZQKq6,HC II,Government,Police,"[33.93387,1.48837]",fbPAuvlJO2x,Kumi Town Council,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
IfRYINCb1dC,Kumi Prisons HC II,IfRYINCb1dC,HC II,,Prisons,"[33.93973,1.49051]",fbPAuvlJO2x,Kumi Town Council,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
znAFKVaQBcc,Kumi University HC II,znAFKVaQBcc,HC II,Private For Profit,MOH,"[33.86259,1.47274]",Q9dlhYRxdUL,Nyero Subcounty,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
